Student,Matched B.,Partial B.,Mismatched B.,Extra B.,Total M.,Concept M.,LP M.,Misconcep.,Hier. M.,Grade,Nodes,Time(sec)
CTAnonymous1,0,8,1,66,66.67,72.73,0,100,14.81,27.04,175,86.77
CTAnonymous2,0,9,0,44,75,81.82,0,100,16.67,30.42,115,37.88
CTAnonymous3,0,7,2,19,58.33,63.64,0,100,12.96,23.66,60,11.09
CTAnonymous4,0,2,7,2,50,54.55,0,100,3.7,17.76,71,12.78
CTAnonymous5,0,4,5,6,33.33,36.36,0,100,7.41,13.52,48,7
CTAnonymous6,0,7,2,57,58.33,63.64,0,100,12.96,23.66,177,71.09
CTAnonymous7,0,9,0,23,75,81.82,0,100,16.67,30.42,126,34.41
CTAnonymous8,0,2,7,9,16.67,18.18,0,100,3.7,6.76,35,4.62
CTAnonymous9,0,2,7,14,41.67,45.45,0,100,3.7,15.01,104,30.2
CTAnonymous10,0,7,2,42,58.33,63.64,0,100,12.96,23.66,110,32.86
CTAnonymous11,0,7,2,33,58.33,63.64,0,100,12.96,23.66,133,50.03
CTAnonymous12,0,6,3,37,50,54.55,0,100,11.11,20.28,102,31.45
,,,,,,,,,,,,
CTAnonymous14,0,2,7,12,33.33,36.36,0,100,3.7,12.26,47,7.19
CTAnonymous15,0,8,1,106,75,81.82,0,100,14.81,29.79,234,245.12
CTAnonymous16,0,4,5,17,41.67,45.45,0,100,7.41,16.27,83,18.2
CTAnonymous17,0,0,9,2,16.67,18.18,0,100,0,5.5,38,2.69
CTAnonymous18,0,3,6,2,25,27.27,0,100,5.56,10.14,27,2.44
CTAnonymous19,0,4,5,22,33.33,36.36,0,100,7.41,13.52,84,19.88
CTAnonymous20,0,7,2,58,58.33,63.64,0,100,12.96,23.66,120,71.11
CTAnonymous21,0,7,2,9,66.67,72.73,0,100,12.96,26.41,87,25.31
CTAnonymous22,0,0,9,40,0,0,0,100,0,0,80,23.42
CTAnonymous23,0,6,3,13,50,54.55,0,100,11.11,20.28,62,17.19
CTAnonymous24,0,8,1,39,66.67,72.73,0,100,14.81,27.04,92,23.56
,,,,,,,,,,,,
CTAnonymous26,0,4,5,15,33.33,36.36,0,100,7.41,13.52,50,7.75
,,,,,,,,,,,,
CTAnonymous28,0,3,6,11,25,27.27,0,100,5.56,10.14,50,10.86
