Student,Matched B.,Partial B.,Mismatched B.,Extra B.,Total M.,Concept M.,LP M.,Misconcep.,Hier. M.,Grade,Nodes,Time(sec)
CTAnonymous1,0,5,3,69,58.33,60,50,100,20.83,26.33,175,88.41
CTAnonymous2,0,2,6,51,25,30,0,100,8.33,11.08,115,37.61
CTAnonymous3,0,1,7,25,16.67,20,0,100,2.08,6.21,60,11.75
CTAnonymous4,0,0,8,4,16.67,20,0,100,0,5.5,71,10.28
CTAnonymous5,0,0,8,10,0,0,0,100,0,0,48,6.98
CTAnonymous6,0,6,2,58,50,50,50,87.5,25,29.12,177,85.89
CTAnonymous7,0,1,7,31,16.67,20,0,100,6.25,7.63,126,42.56
CTAnonymous8,0,2,6,9,25,30,0,100,4.17,9.67,35,7.98
CTAnonymous9,0,3,5,13,25,30,0,100,6.25,10.38,104,29.44
CTAnonymous10,0,3,5,46,41.67,50,0,100,10.42,17.29,110,35.5
CTAnonymous11,0,4,4,36,41.67,50,0,100,16.67,19.42,133,55.67
CTAnonymous12,0,3,5,40,33.33,40,0,75,14.58,24.21,102,35.75
,,,,,,,,,,,,
CTAnonymous14,0,0,8,14,0,0,0,100,0,0,47,7.61
CTAnonymous15,0,6,2,108,50,50,50,100,31.25,27.12,234,229.19
CTAnonymous16,0,0,8,21,0,0,0,100,0,0,83,20.02
CTAnonymous17,0,0,8,2,0,0,0,100,0,0,38,2.86
CTAnonymous18,0,0,8,5,0,0,0,100,0,0,27,3.08
CTAnonymous19,0,6,2,20,58.33,60,50,100,20.83,26.33,84,26.55
CTAnonymous20,0,4,4,61,33.33,30,50,100,16.67,16.67,120,69.56
CTAnonymous21,0,1,7,15,25,30,0,100,8.33,11.08,87,21.88
CTAnonymous22,0,2,6,38,16.67,20,0,100,4.17,6.92,80,33.66
CTAnonymous23,0,2,6,17,41.67,50,0,100,8.33,16.58,62,22.09
CTAnonymous24,0,2,6,45,16.67,20,0,100,12.5,9.75,92,24.45
,,,,,,,,,,,,
CTAnonymous26,0,1,7,18,8.33,10,0,100,2.08,3.46,50,9.08
,,,,,,,,,,,,
CTAnonymous28,0,1,7,13,8.33,10,0,100,2.08,3.46,50,12.44
