Student,Matched B.,Partial B.,Mismatched B.,Extra B.,Total M.,Concept M.,LP M.,Misconcep.,Hier. M.,Grade,Nodes,Time(sec)
CTAnonymous1,0,8,3,66,52.94,50,66.67,58.33,25.15,39.77,180,109.36
CTAnonymous2,0,4,7,49,23.53,28.57,0,83.33,18.18,19.45,120,47.09
CTAnonymous3,0,3,8,23,29.41,35.71,0,100,13.64,14.34,65,15.25
CTAnonymous4,0,2,9,2,17.65,14.29,33.33,100,2.42,6.65,76,12.25
CTAnonymous5,0,0,11,10,0,0,0,100,0,0,53,8.86
CTAnonymous6,0,7,4,57,35.29,28.57,66.67,83.33,24.55,25.49,182,103.8
CTAnonymous7,0,5,6,27,17.65,14.29,33.33,100,16.06,11.28,131,51.61
CTAnonymous8,0,1,10,10,5.88,7.14,0,100,1.52,2.46,40,11.95
CTAnonymous9,0,2,9,14,11.76,7.14,33.33,100,2.42,4.7,109,35.77
CTAnonymous10,0,5,6,44,35.29,42.86,0,83.33,18.79,23.54,115,43.75
CTAnonymous11,0,3,8,37,17.65,14.29,33.33,100,6.97,8.19,138,68.94
CTAnonymous12,0,5,6,38,17.65,14.29,33.33,100,16.06,11.28,107,45.62
,,,,,,,,,,,,
CTAnonymous14,0,0,11,14,0,0,0,100,0,0,52,10.31
CTAnonymous15,0,10,1,104,41.18,42.86,33.33,91.67,35.15,28.29,239,249.8
CTAnonymous16,0,0,11,21,0,0,0,100,0,0,88,23.47
CTAnonymous17,0,0,11,2,0,0,0,100,0,0,43,3.75
CTAnonymous18,0,1,10,4,11.76,14.29,0,100,4.55,5.43,32,4.41
CTAnonymous19,0,2,9,24,17.65,14.29,33.33,100,6.06,7.88,89,33.16
CTAnonymous20,0,6,5,59,35.29,28.57,66.67,83.33,18.79,23.54,125,79.64
CTAnonymous21,0,2,9,14,23.53,21.43,33.33,100,9.09,10.86,92,25.64
CTAnonymous22,0,0,11,40,0,0,0,100,0,0,85,45.06
CTAnonymous23,0,2,9,17,17.65,21.43,0,100,3.03,6.85,67,26.7
CTAnonymous24,0,4,7,43,17.65,14.29,33.33,100,11.52,9.74,97,30.62
,,,,,,,,,,,,
CTAnonymous26,0,2,9,17,5.88,0,33.33,100,2.42,2.76,55,12.73
,,,,,,,,,,,,
CTAnonymous28,0,1,10,13,5.88,7.14,0,100,1.52,2.46,55,15.39
