Student,Matched B.,Partial B.,Mismatched B.,Extra B.,Total M.,Concept M.,LP M.,Misconcep.,Hier. M.,Grade,Nodes,Time(sec)
CTAnonymous1,0,7,0,67,20,22.22,0,100,45.24,21.98,173,91.5
CTAnonymous2,0,7,0,46,10,11.11,0,100,50,20.3,113,39.02
CTAnonymous3,0,3,4,23,10,11.11,0,100,21.43,10.59,58,11.58
CTAnonymous4,0,0,7,4,20,22.22,0,100,0,6.6,69,9.94
CTAnonymous5,0,0,7,10,0,0,0,100,0,0,46,6.47
CTAnonymous6,0,7,0,57,10,11.11,0,100,50,20.3,175,89.03
CTAnonymous7,0,1,6,31,20,22.22,0,100,7.14,9.03,124,43.41
CTAnonymous8,0,0,7,11,0,0,0,100,0,0,33,8.62
CTAnonymous9,0,0,7,16,0,0,0,100,0,0,102,30.36
CTAnonymous10,0,1,6,48,20,22.22,0,100,7.14,9.03,108,36.66
CTAnonymous11,0,1,6,39,10,11.11,0,100,2.38,4.11,131,55.88
CTAnonymous12,0,2,5,41,20,22.22,0,100,14.29,11.46,100,37.73
,,,,,,,,,,,,
CTAnonymous14,0,0,7,14,0,0,0,100,0,0,45,7.52
CTAnonymous15,0,7,0,107,30,33.33,0,100,45.24,25.28,232,227.69
CTAnonymous16,0,0,7,21,0,0,0,100,0,0,81,20.91
CTAnonymous17,0,0,7,2,0,0,0,100,0,0,36,2.73
CTAnonymous18,0,0,7,5,0,0,0,100,0,0,25,2.91
CTAnonymous19,0,0,7,26,0,0,0,100,0,0,82,26.89
CTAnonymous20,0,1,6,64,20,22.22,0,100,7.14,9.03,118,69.58
CTAnonymous21,0,2,5,14,30,33.33,0,100,9.52,13.14,85,20.88
CTAnonymous22,0,1,6,39,10,11.11,0,100,2.38,4.11,78,36.86
CTAnonymous23,0,1,6,18,10,11.11,0,100,7.14,5.73,60,21.86
CTAnonymous24,0,2,5,45,20,22.22,0,100,14.29,11.46,90,24.77
,,,,,,,,,,,,
CTAnonymous26,0,0,7,19,0,0,0,100,0,0,48,9.47
,,,,,,,,,,,,
CTAnonymous28,0,0,7,14,0,0,0,100,0,0,48,12.36
