Student,Matched B.,Partial B.,Mismatched B.,Extra B.,Total M.,Concept M.,LP M.,Misconcep.,Hier. M.,Grade,Nodes,Time(sec)
CTAnonymous1,0,9,0,65,46.67,50,33.33,40,53.33,53.33,178,95.02
CTAnonymous2,0,9,0,44,53.33,66.67,0,60,55.19,49.56,118,41.56
CTAnonymous3,0,5,4,21,33.33,41.67,0,100,19.26,17.55,63,13.47
CTAnonymous4,0,0,9,4,33.33,41.67,0,100,0,11,74,10.58
CTAnonymous5,0,0,9,10,0,0,0,100,0,0,51,7.23
CTAnonymous6,0,9,0,55,80,83.33,66.67,50,64.44,64.81,180,90.52
CTAnonymous7,0,4,5,28,40,41.67,33.33,100,14.44,18.11,129,44.72
CTAnonymous8,0,0,9,11,0,0,0,100,0,0,38,8.94
CTAnonymous9,0,2,7,14,40,50,0,100,3.7,14.46,107,31.03
CTAnonymous10,0,6,3,43,40,50,0,100,7.78,15.85,113,37.45
CTAnonymous11,0,8,1,32,40,41.67,33.33,70,44.44,38.21,136,59.92
CTAnonymous12,0,6,3,37,53.33,50,66.67,100,16.67,23.27,105,37.98
,,,,,,,,,,,,
CTAnonymous14,0,1,8,13,6.67,8.33,0,100,1.85,2.83,50,7.89
CTAnonymous15,0,9,0,105,73.33,83.33,33.33,100,25.93,33.02,237,227.41
CTAnonymous16,0,0,9,21,0,0,0,100,0,0,86,20.39
CTAnonymous17,0,0,9,2,0,0,0,100,0,0,41,3.16
CTAnonymous18,0,1,8,4,6.67,8.33,0,100,0.74,2.45,30,3.45
CTAnonymous19,0,5,4,21,33.33,33.33,33.33,100,8.52,13.9,87,26.84
CTAnonymous20,0,9,0,56,73.33,83.33,33.33,20,62.59,71.88,123,72.73
CTAnonymous21,0,4,5,12,40,50,0,90,8.89,19.52,90,22.66
CTAnonymous22,0,1,8,39,6.67,8.33,0,100,1.85,2.83,83,34.62
CTAnonymous23,0,3,6,16,33.33,41.67,0,90,11.85,18.33,65,21.39
CTAnonymous24,0,9,0,38,46.67,58.33,0,60,53.33,46.73,95,28.14
,,,,,,,,,,,,
CTAnonymous26,0,0,9,19,0,0,0,100,0,0,53,10.14
,,,,,,,,,,,,
CTAnonymous28,0,0,9,14,0,0,0,100,0,0,53,12.92
