Student,Matched B.,Partial B.,Mismatched B.,Extra B.,Total M.,Concept M.,LP M.,Misconcep.,Hier. M.,Grade,Nodes,Time(sec)
CTAnonymous1,0,11,0,63,68,70.59,62.5,46.67,38.79,53.23,188,104.61
CTAnonymous2,0,9,2,44,40,47.06,25,66.67,41.82,38.42,128,48.44
CTAnonymous3,0,1,10,25,4,5.88,0,100,1.52,1.84,73,16.92
CTAnonymous4,0,2,9,2,24,29.41,12.5,86.67,9.09,15.41,84,12.94
CTAnonymous5,0,2,9,8,4,0,12.5,100,4.85,2.97,61,9.78
CTAnonymous6,0,11,0,53,36,23.53,62.5,100,30.3,22.18,190,102.14
CTAnonymous7,1,6,4,25,36,35.29,37.5,80,39.09,31.77,139,50.16
CTAnonymous8,0,0,11,11,0,0,0,100,0,0,48,12.45
CTAnonymous9,1,1,9,14,24,17.65,37.5,100,16.67,13.59,117,34.7
CTAnonymous10,0,8,3,41,24,23.53,25,100,27.58,17.3,123,44.7
CTAnonymous11,0,8,3,32,20,23.53,12.5,86.67,31.52,21.72,146,65.25
CTAnonymous12,0,6,5,37,12,11.76,12.5,100,12.42,8.18,115,43.02
,,,,,,,,,,,,
CTAnonymous14,0,0,11,14,0,0,0,100,0,0,60,11.3
CTAnonymous15,0,11,0,103,56,70.59,25,53.33,57.88,53.56,247,248.7
CTAnonymous16,0,1,10,20,4,5.88,0,100,1.52,1.84,96,24.42
CTAnonymous17,0,0,11,2,0,0,0,100,0,0,51,5.14
CTAnonymous18,0,2,9,3,4,0,12.5,100,4.85,2.97,40,4.8
CTAnonymous19,0,2,9,24,4,0,12.5,100,4.85,2.97,97,31.31
CTAnonymous20,0,6,5,59,20,23.53,12.5,100,11.82,10.62,133,81.45
CTAnonymous21,0,1,10,15,12,5.88,25,100,3.03,4.99,100,26.12
CTAnonymous22,0,2,9,38,4,5.88,0,100,3.64,2.56,93,41.72
CTAnonymous23,0,4,7,15,24,35.29,0,100,7.58,10.5,75,25.52
CTAnonymous24,2,7,2,38,44,52.94,25,66.67,52.12,43.24,105,34.45
,,,,,,,,,,,,
CTAnonymous26,0,4,7,15,8,5.88,12.5,100,8.79,5.63,63,13.17
,,,,,,,,,,,,
CTAnonymous28,0,7,4,7,8,0,25,100,19.39,9.23,63,14.77
